English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
aged,adj,"elderly, old(en), yore","forolden, full-blown, full-fledged, grown.",forolden, full-blown, full-fledged, grown.,,,,,,,,,,,,,,,,,,,,,,
agenda,n,to-do-list,worklist (cf. Fr. wurklist),worklist ,cf. Fr. wurklist),,,,,,,,,,,,,,,,,,,,,,,,
agglomerate,vb,huddle,clodden (Barnes),clodden ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
agglomeration,n,"crowding, heaping, clodding,",swelltown,swelltown,,,,,,,,,,,,,,,,,,,,,,,,,
agglutinate,vb,wordlink,upcleam (Barnes),upcleam ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
aggressive,adj,go-getting,fightsome (Barnes),fightsome ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
aggressor,n,raider,scather,scather,,,,,,,,,,,,,,,,,,,,,,,,,
agile,adj,"nimble, limber, lithelight-footed, yare",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
agitate(d),vb,"stir, toss, keyed-up",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
agitation,n,worry,"mindfret, seething, churning",mindfret, seething, churning,,,,,,,,,,,,,,,,,,,,,,,
aglet,n,-,"needling, shoestring tip",needling, shoestring tip,,,,,,,,,,,,,,,,,,,,,,,,
agoraphobia,n,-,steadfear,steadfear,,,,,,,,,,,,,,,,,,,,,,,,,
agree,vb,"settle on, fit, hold with (Barnes)",thwear (<OE þwǽrian)thave (<OE þafian)\nforewyrd (<OE forewyrdan),thwear ,<OE þwǽrian)thave ,<OE þafian)\nforewyrd ,<OE forewyrdan),,,,,,,,,,,,,,,,,,,,,,
agreeable,adj,-,likeworthy,likeworthy,,,,,,,,,,,,,,,,,,,,,,,,,
agreement,n,"deal, meeting of minds","mirth, thwaring, thaving, soom (<OE som)",mirth, thwaring, thaving, soom ,<OE som),,,,,,,,,,,,,,,,,,,,,
agrarian/agricultural,adj,field (Barnes),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
agriculture,n,"farming, tilling, harvest","fieldlore, earth-tilth (Barnes), croplorelandwardship (cf. NHG Landwirtschaft)",fieldlore, earth-tilth ,Barnes), croplorelandwardship ,cf. NHG Landwirtschaft),,,,,,,,,,,,,,,,,,,,,
aichmophobia,n,needlefright,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
aid,vb,"help, bestead","filst (<OE fylstan), andfilst (<OE andfylstan)",filst ,<OE fylstan), andfilst ,<OE andfylstan),,,,,,,,,,,,,,,,,,,,,,
aimsome,adj,single-minded (Barnes),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,n,-,Earned Bodyweir Scantness Sickness,Earned Bodyweir Scantness Sickness,,,,,,,,,,,,,,,,,,,,,,,,,
aim,n,"goal, mark","tile (<OE tilian ""to aim"", cf. NHG Ziel)\nettle",tile ,"<OE tilian ""to aim""", cf. NHG Ziel)\nettle,,,,,,,,,,,,,,,,,,,,,,,
aim at,vb,-,"eye for, nought in,tile (<OE tilian, NHG zielen)",eye for, nought in,tile ,<OE tilian, NHG zielen),,,,,,,,,,,,,,,,,,,,,
air,n/vb,"wind, breath;\nvb: broadcast; freshen","loft (<OE loft (through Old Norse),cf. NHG Luft, Du. lucht),lift (<OE lyft)\nlife's breath",loft ,<OE loft ,through Old Norse),cf. NHG Luft, Du. lucht),lift ,<OE lyft)\nlife's breath,,,,,,,,,,,,,,,,,,,
air force,n,-,"loft-weir, loftmight (cf. Du. luchtmacht)",loft-weir, loftmight ,cf. Du. luchtmacht),,,,,,,,,,,,,,,,,,,,,,,
airplane/ aeroplane,n,"kite (slang), flightcraft","flycraft (OE, floegan; loftcraft,stycraft from OE: upstigen to move up rise ascend)",flycraft ,OE, floegan; loftcraft,stycraft from OE: upstigen to move up rise ascend),,,,,,,,,,,,,,,,,,,,,,
airport,n,-,"lofthub, lofthaven (calque)",lofthub, lofthaven ,calque),,,,,,,,,,,,,,,,,,,,,,,
airship,n,"Zeppelin, skyship",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
aisle,n,"path, lane",gangway,gangway,,,,,,,,,,,,,,,,,,,,,,,,,
alarm clock,n,-,"waker (cf. NHG: Wecker, Du wekker)\nwire-waker, wireroosterlilter, uprouser, uprearer",waker ,cf. NHG: Wecker, Du wekker)\nwire-waker, wireroosterlilter, uprouser, uprearer,,,,,,,,,,,,,,,,,,,,
alas,interj,"alack, ay, woe","welaway, lackaday, alack",welaway, lackaday, alack,,,,,,,,,,,,,,,,,,,,,,,
albedo,n,-,"whiteness (<ME<OE hwitness),whiteshine",whiteness ,<ME<OE hwitness),whiteshine,,,,,,,,,,,,,,,,,,,,,,,
albino,n,-,whiteling,whiteling,,,,,,,,,,,,,,,,,,,,,,,,,
album,n,-,whitebook,whitebook,,,,,,,,,,,,,,,,,,,,,,,,,
albumen,n,egg white,egg lime,egg lime,,,,,,,,,,,,,,,,,,,,,,,,,
alchemy,n,-,orecraft,orecraft,,,,,,,,,,,,,,,,,,,,,,,,,
alcohol,n,"booze, firewater",wineghost,wineghost,,,,,,,,,,,,,,,,,,,,,,,,,
alcoholic,n,"sot, drunkard, boozen",malt-worm,malt-worm,,,,,,,,,,,,,,,,,,,,,,,,,
alert,adj,"awake, watchful; heedful, wary;numble, sharp-witted; ready, willing",glegrathe (<OE rathe),glegrathe ,<OE rathe),,,,,,,,,,,,,,,,,,,,,,,,
algorithm,n,-,reckonwrit,reckonwrit,,,,,,,,,,,,,,,,,,,,,,,,,
alien,n/adj,"way-out, fremd, outlandish, outsider","Fremd (Eng./NHG. fremd), Elster, Elend, Otherling",Fremd ,Eng./NHG. fremd), Elster, Elend, Otherling,,,,,,,,,,,,,,,,,,,,,
alienate,vb,-,Befremd (NHG. Befremden) see fremd,Befremd ,NHG. Befremden) see fremd,,,,,,,,,,,,,,,,,,,,,,,,
alienation,n,unfriendliness,Befremding,Befremding,,,,,,,,,,,,,,,,,,,,,,,,,
align,vb,"set up, fit, shape (into a line)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
allegory,n,likeness,forlikening (Barnes),forlikening ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
allergy,n,-,overfeeling,overfeeling,,,,,,,,,,,,,,,,,,,,,,,,,
alleviate,vb,"allay, lighten",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
alley,n,"walk, lane, pathway",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
alliance,n,"bond, tie",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
allied,adj,"bound, wed",fayed,fayed,,,,,,,,,,,,,,,,,,,,,,,,,
alligator,n,-,broadmouthnix,broadmouthnix,,,,,,,,,,,,,,,,,,,,,,,,,
alliteration,n,-,"staverime, mate-penning (Barnes)",staverime, mate-penning ,Barnes),,,,,,,,,,,,,,,,,,,,,,,
allocate,vb,"earmark, let",fordeal,fordeal,,,,,,,,,,,,,,,,,,,,,,,,,
allotment,n,-,fordealing,fordealing,,,,,,,,,,,,,,,,,,,,,,,,,
allow,vb,"let (Barnes), leave, give the green light for","thwore (<OE þwárian)\nthave (<OE þafian)\naleave (<OE ālīefan, cf. NHG erlauben)",thwore ,<OE þwárian)\nthave ,<OE þafian)\naleave ,<OE ālīefan, cf. NHG erlauben),,,,,,,,,,,,,,,,,,,,,
allowable,adj,-,"thwaresome, thavesome",thwaresome, thavesome,,,,,,,,,,,,,,,,,,,,,,,,
alloy,n,"mix, blend, meld",mastling,mastling,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Day,n,"Allhallowmas, Hallowmas",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
allude,vb,"hint (at), touch (on)",anent,anent,,,,,,,,,,,,,,,,,,,,,,,,,
allure,vb,draw to,"spane (<OE spanan), adwell",spane ,<OE spanan), adwell,,,,,,,,,,,,,,,,,,,,,,,
Ally,n,,"Ithoft, Ifolk, Ihild, Ifight, Ilie, Ilay",Ithoft, Ifolk, Ihild, Ifight, Ilie, Ilay,,,,,,,,,,,,,,,,,,,,
almanac,n,yearbook,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
alphabet,n,ABCs\nalphabet: futhorc,"staffrow (<OE stæfrǣw,Ic. stafrófið, Fa. stavraðið),\nruneline, runecraft, runebook,staffhoard, runestaff",staffrow ,<OE stæfrǣw,Ic. stafrófið, Fa. stavraðið),\nruneline, runecraft, runebook,staffhoard, runestaff,,,,,,,,,,,,,,,,,
altar,n,-,"giftboard, worship boardglowstead, gleedstead (<OE glédstede)waybed (<OE wigbed)\nharrow (<OE hearg, cf. OHG harug)",giftboard, worship boardglowstead, gleedstead ,<OE glédstede)waybed ,<OE wigbed)\nharrow ,<OE hearg, cf. OHG harug),,,,,,,,,,,,,,,,,,,
alter,vb,wend,"frother (cf. Fr. feroar, Du. veranderen, NHG. verändern)",frother ,cf. Fr. feroar, Du. veranderen, NHG. verändern),,,,,,,,,,,,,,,,,,,,,,
altercation,n,"flite, brangle, brawl, row, dust-up",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
alternate,v,"waver, switch, become, shift",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
alternative,adj,other,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
altitude,n,height,"highmete, aloftness",highmete, aloftness,,,,,,,,,,,,,,,,,,,,,,,,
altruism,n,selflessness,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
altruistic,adj,"selfless, unselfish",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
amass,vb,"gather, heap, huddle",mill,mill,,,,,,,,,,,,,,,,,,,,,,,,,
amateur,n,"greenhorn, beginner, starter",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
amazon,n,-,bandfighters (calque of Old Persian *hamazan)\nwyewoman (calque of Irish banghaiscíoch and Scottish Gaelic ban-laoch),bandfighters ,calque of Old Persian *hamazan)\nwyewoman ,calque of Irish banghaiscíoch and Scottish Gaelic ban-laoch),,,,,,,,,,,,,,,,,,,,,,,
ambassador,n,-,"rikesboder, landspellsman",rikesboder, landspellsman,,,,,,,,,,,,,,,,,,,,,,,,
amber,n,-,"brimstone, glarestone, burnstone, elksand (<OE eolhsand)",brimstone, glarestone, burnstone, elksand ,<OE eolhsand),,,,,,,,,,,,,,,,,,,,,
ambidextrous,adj,"both-handed, two-handed, either-handed","umberight, umbecrafty, umbehandy",umberight, umbecrafty, umbehandy,,,,,,,,,,,,,,,,,,,,,,,
ambience,n,"mood, feeling",roomfeel,roomfeel,,,,,,,,,,,,,,,,,,,,,,,,,
ambiguous,adj,-,"twiwordy (<OE twiwyrdig),twisided (Barnes); twi-meaning.twimeaning, unsifer,",twiwordy ,<OE twiwyrdig),twisided ,Barnes); twi-meaning.twimeaning, unsifer,,,,,,,,,,,,,,,,,,,,,
ambiguity,n,-,twiwordiness,twiwordiness,,,,,,,,,,,,,,,,,,,,,,,,,
ambivalence,n,-,waver,waver,,,,,,,,,,,,,,,,,,,,,,,,,
ambivert,n,-,twigoer,twigoer,,,,,,,,,,,,,,,,,,,,,,,,,
ambiverted,adj,-,twigoing,twigoing,,,,,,,,,,,,,,,,,,,,,,,,,
ambulance,n,-,sickwain crankwain (<NHG Krankenwagen),sickwain crankwain ,<NHG Krankenwagen),,,,,,,,,,,,,,,,,,,,,,,,
ambulant,adj,"roving, wandering, wayfaring",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ambush,n/ vb,"net, web; waylay (Barnes), forlay",inbush,inbush,,,,,,,,,,,,,,,,,,,,,,,,,
ameliorate,vb,better,eather,eather,,,,,,,,,,,,,,,,,,,,,,,,,
amen,interj,-,"soothly (<OE soþlice)\nso be it (used in the early English Reformation),\ntrue dat (colloquial), yelayay",soothly ,<OE soþlice)\nso be it ,used in the early English Reformation),\ntrue dat ,colloquial), yelayay,,,,,,,,,,,,,,,,,,,,
America,n,New World,"Markland (<OE mearcland ""borderland,""cognate to ON markland,the name given by Leif Eriksson to aLabrador shoreline; the element m a r k incidentallyshares the same threeconsonant sounds as A m e r i c a)\nWestlands, Redlands",Markland ,"<OE mearcland ""borderland","""cognate to ON markland",the name given by Leif Eriksson to aLabrador shoreline; the element m a r k incidentallyshares the same threeconsonant sounds as A m e r i c a)\nWestlands, Redlands,,,,,,,,,,,,,,,,,,,,,
amicable,adj,"friendly, hail-fellow-well-met",blithe,blithe,,,,,,,,,,,,,,,,,,,,,,,,,
amigo,n,friend,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ammonia,n,-,hartshorn,hartshorn,,,,,,,,,,,,,,,,,,,,,,,,,
amnesia,n,blackout,eftmind loss,eftmind loss,,,,,,,,,,,,,,,,,,,,,,,,,
amoeba,n,-,"shapeshifter, slimebrick,slimedeer (cf. Ic. slímdýr)",shapeshifter, slimebrick,slimedeer ,cf. Ic. slímdýr),,,,,,,,,,,,,,,,,,,,,,
amorphous,adj,shapeless,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
amount,n,"score, lot, whit, deal (Barnes)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ampersand,n,-,andtoken,andtoken,,,,,,,,,,,,,,,,,,,,,,,,,
amphibian,n,-,"lurrow (cf. NHG Lurche), shoredeer,frogdeer (cf. Ic. froskdýr)",lurrow ,cf. NHG Lurche), shoredeer,frogdeer ,cf. Ic. froskdýr),,,,,,,,,,,,,,,,,,,,,
amphibious,adj,-,two-breathed (Barnes),two-breathed ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
amphitheater,n,-,"playstow, umbewitstow",playstow, umbewitstow,,,,,,,,,,,,,,,,,,,,,,,,
ample,adj,"broad, large, roomy",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
amplifier,n,-,forstronger,forstronger,,,,,,,,,,,,,,,,,,,,,,,,,
amplify,vb,-,outbroaden (Barnes),outbroaden ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
amplitude,n,"breadth, reach, width",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
amputate,v,cut (off),"rend, snithe,forcarve (Barnes), belimb",rend, snithe,forcarve ,Barnes), belimb,,,,,,,,,,,,,,,,,,,,,
amusement,n,"fun, game, fun and games",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
amusing,adj,-,listing,listing,,,,,,,,,,,,,,,,,,,,,,,,,
anachronism,n,mistiming (Barnes),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
anaconda,n,-,whipsnake,whipsnake,,,,,,,,,,,,,,,,,,,,,,,,,
anaesthetic,adj,unsightly,dwale,dwale,,,,,,,,,,,,,,,,,,,,,,,,,
anagram,n,-,stavewrixel,stavewrixel,,,,,,,,,,,,,,,,,,,,,,,,,
anal,adj,"bottom, ?bum —","arsely, arsen",arsely, arsen,,,,,,,,,,,,,,,,,,,,,,,,
analgesic,n,numbing,andwark,andwark,,,,,,,,,,,,,,,,,,,,,,,,,
analogy,n,-,alikeword,alikeword,,,,,,,,,,,,,,,,,,,,,,,,,
analyze,vb,look at,"forloosen (Barnes); think through,unthread, unriddle.\nOnlight, Onseek, \nForloosen, Uploosen, Upsunder\nNease (<OE to search, to find out by inquiry) Onnease, Anease",forloosen ,Barnes); think through,unthread, unriddle.\nOnlight, Onseek, \nForloosen, Uploosen, Upsunder\nNease ,<OE to search, to find out by inquiry) Onnease, Anease,,,,,,,,,,,,,,,
anarchism,n/adj,-,"lawlessholth, lawlesshood",lawlessholth, lawlesshood,,,,,,,,,,,,,,,,,,,,,,,,
anarchy,n,lawlessness,"redelacking, ethellessnesschaos: dwolma (<OE)",redelacking, ethellessnesschaos: dwolma ,<OE),,,,,,,,,,,,,,,,,,,,,,,
anastomosis,n,shunt,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
anathema,n,-,forputting (calque Gk. anathema),forputting ,calque Gk. anathema),,,,,,,,,,,,,,,,,,,,,,,,
anatomy,n,-,bodylore,bodylore,,,,,,,,,,,,,,,,,,,,,,,,,
ancestor,n,"forebear (Barnes)forefather (Barnes)elder, forerunnerfore-elder (Barnes)",foremother\nforeolder (cf. Du. voorouder),foremother\nforeolder ,cf. Du. voorouder),,,,,,,,,,,,,,,,,,,,,,,,
ancestry,n,"strain, seed,bloodties, house",strind,strind,,,,,,,,,,,,,,,,,,,,,,,,,
ancient,adj,"hoary, olden, old-time\nforeold (Barnes)","fern (<OE fyrn)\norold (calque of NHG uralt),yoren",fern ,<OE fyrn)\norold ,calque of NHG uralt),yoren,,,,,,,,,,,,,,,,,,,,,,
ancient times,n,yoretide,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
andiron,n,firedog,firegoat,firegoat,,,,,,,,,,,,,,,,,,,,,,,,,
androgyny,n,-,"werewifehood (Calque of the Greek + ""hood"")",werewifehood ,"Calque of the Greek + ""hood"")",,,,,,,,,,,,,,,,,,,,,,,,
android,n,-,manhue/werehue (cf. Greek andros 'man' and oeidēs 'hue' (<OE hiw)),manhue/werehue ,cf. Greek andros 'man' and oeidēs 'hue' ,<OE hiw)),,,,,,,,,,,,,,,,,,,,,,,
anemometer,n,-,windmeter (Barnes),windmeter ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
anemone,n,-,windrose,windrose,,,,,,,,,,,,,,,,,,,,,,,,,
anesthesia,n,-,unfeeler (calque)\nnumber (one who numbs),unfeeler ,calque)\nnumber ,one who numbs),,,,,,,,,,,,,,,,,,,,,,,
angel,n,-,"rotherer, errandghost (<OE ærendgást)",rotherer, errandghost ,<OE ærendgást),,,,,,,,,,,,,,,,,,,,,,,
anger?,n,"ire, wrath, scorn",greme (<OE grama);'anger' O.N. loanword circa 1220AD,greme ,<OE grama);'anger' O.N. loanword circa 1220AD,,,,,,,,,,,,,,,,,,,,,,,,
angle,n,"nook, bight, winkle","nookspan, nookwidth, hook,hurn (<OE hyrne),whem (<OE hwemm)",nookspan, nookwidth, hook,hurn ,<OE hyrne),whem ,<OE hwemm),,,,,,,,,,,,,,,,,,,
angry,adj,"wrathful, uptight, waspish",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
anguish,n,"woe, sorrow, heartbreak, heartache, throe","angsomeness, bosom-hell",angsomeness, bosom-hell,,,,,,,,,,,,,,,,,,,,,,,,
angular,adj,-,"nook-shot, sharp-nooked,straight-edged, hyrned (<OE hyrnen), edgy",nook-shot, sharp-nooked,straight-edged, hyrned ,<OE hyrnen), edgy,,,,,,,,,,,,,,,,,,,,
animal,n,being,"deer, wight (<OE wiht), wilder,soulend, livle, nite (<OE nēat),neat (from OE, like neatsfoot oil),neatenkind (<OE)",deer, wight ,<OE wiht), wilder,soulend, livle, nite ,<OE nēat),neat ,from OE, like neatsfoot oil),neatenkind ,<OE),,,,,,,,,,,,,
animate,vb,livenliterary: quicken (Barnes),"besoul (cf. NHG beseelen, Du. bezielen)",besoul ,cf. NHG beseelen, Du. bezielen),,,,,,,,,,,,,,,,,,,,,,,
anime,n,-,dawnlandish livedrawing,dawnlandish livedrawing,,,,,,,,,,,,,,,,,,,,,,,,,
animosity,n,hate(red),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
annals,n,-,year-bookings,year-bookings,,,,,,,,,,,,,,,,,,,,,,,,,
annelid,n,ringworm,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
annex,vb,-,onend (on+end) (cf. NHG Anschluss),onend ,on+end) ,cf. NHG Anschluss),,,,,,,,,,,,,,,,,,,,,,,
annihilate,vb,"wipe out,",fornaughten (Barnes)\nbenothing (Eng.),fornaughten ,Barnes)\nbenothing ,Eng.),,,,,,,,,,,,,,,,,,,,,,,
annihilation,n,wrecking,"fornaughting, spild (OE)",fornaughting, spild ,OE),,,,,,,,,,,,,,,,,,,,,,,
anniversary,n,"yearday, yeartide (Barnes), Frealstide (<OE a festival of the church, an anniversary), Year-imind (<OE)",mind day (<OE gemynddaeg),mind day ,<OE gemynddaeg),,,,,,,,,,,,,,,,,,,,,,,,
Anno Domini,adv,in the year of our lord,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
annotate,vb,mark,bemark,bemark,,,,,,,,,,,,,,,,,,,,,,,,,
annotation,n,marking,bemarking (NGH Bemerkung),bemarking ,NGH Bemerkung),,,,,,,,,,,,,,,,,,,,,,,,
announce,vb,"ban, bode, bid, kithe","forcouth (<OE cýðan, cf. NHG verkünden)meld (<OE meldian, cf. NHG./Du. melden)\nforthspell, spell out",forcouth ,<OE cýðan, cf. NHG verkünden)meld ,<OE meldian, cf. NHG./Du. melden)\nforthspell, spell out,,,,,,,,,,,,,,,,,,,,
announcement,n,-,oncouthing (cf. NHG Ankündigung),oncouthing ,cf. NHG Ankündigung),,,,,,,,,,,,,,,,,,,,,,,,
annoy,vb,"irk (Barnes), nettle",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
annoying,adj,irksome (Barnes),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
annual,n,yearbook,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
annul,vb,"fordo, call off",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
annuli astronomici,n,Gemma's Rings,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
anoint,v,smear,"anele,throughsmear (<OE þūrhsmyrian)",anele,throughsmear ,<OE þūrhsmyrian),,,,,,,,,,,,,,,,,,,,,,,
anonymous,adj,"nameless, unnamed, unknown",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
anorexia,n,-,fastlust,fastlust,,,,,,,,,,,,,,,,,,,,,,,,,
antagonist,n,"fiend, foe","witherling, gainstander",witherling, gainstander,,,,,,,,,,,,,,,,,,,,,,,,
antarctic,n,southend,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,n,South End,"South Hern, Underland",South Hern, Underland,,,,,,,,,,,,,,,,,,,,,,,,
antecedence,n,"beforemath, foregoing",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
antediluvian,adj,-,foreflood,foreflood,,,,,,,,,,,,,,,,,,,,,,,,,
Ante Meridiëm,phr,Before Midday (calque),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
anterior,n,"fore, foreside",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
anthem,n,-,folksong (cf. NHG./Du. volkslied),folksong ,cf. NHG./Du. volkslied),,,,,,,,,,,,,,,,,,,,,,,,
anthology,n,reader,fayness,fayness,,,,,,,,,,,,,,,,,,,,,,,,,
anthropology,n,-,"theedlore, manlore, werelore",theedlore, manlore, werelore,,,,,,,,,,,,,,,,,,,,,,,
anti-,n,"wither-, with-, gain-",off-,off-,,,,,,,,,,,,,,,,,,,,,,,,,
antibiotic,n,,gainrodlifeanwork,gainrodlifeanwork,,,,,,,,,,,,,,,,,,,,,,,,,
antisemite,adj,Jew-hater,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
anticipate,vb,"foretell, foresee",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
anticlockwise,adj/adv,widdershins,"withclockwise, withershins",withclockwise, withershins,,,,,,,,,,,,,,,,,,,,,,,,
antics,n,-,"odd behaveness, childishness",odd behaveness, childishness,,,,,,,,,,,,,,,,,,,,,,,,
anticonstitutionally,adv,-,witherlawwritlywithlawwritly,witherlawwritlywithlawwritly,,,,,,,,,,,,,,,,,,,,,,,,,
antidisestablishmentarianism,n,-,gainunstathelingmanness,gainunstathelingmanness,,,,,,,,,,,,,,,,,,,,,,,,,
antidote,n,-,atterloathe (<ME atterllothe),atterloathe ,<ME atterllothe),,,,,,,,,,,,,,,,,,,,,,,,
antigen,n,-,offweirstuff,offweirstuff,,,,,,,,,,,,,,,,,,,,,,,,,
antihero,n,-,"gainheleth, withheleth, witherheleth",gainheleth, withheleth, witherheleth,,,,,,,,,,,,,,,,,,,,,,,
antilope,n,-,buck (cf. Afr. bok)\nbloomgoat,buck ,cf. Afr. bok)\nbloomgoat,,,,,,,,,,,,,,,,,,,,,,,,
antimatter,n,-,"gainstuff, witherstuff,unbeing, unstuff",gainstuff, witherstuff,unbeing, unstuff,,,,,,,,,,,,,,,,,,,,,,
antipathy,n,mislike,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
antipope,n,,gainfather (cf. NHG gegenpapst),gainfather ,cf. NHG gegenpapst),,,,,,,,,,,,,,,,,,,,,,,,
antiquated,adj,"careworn, timestruck",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
antique,n/adj,eldern,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
antiquity,n,"olden days;oldness, eldnerliness","afern (OE fyrn 'former, ancient')",afern ,OE fyrn 'former, ancient'),,,,,,,,,,,,,,,,,,,,,,,
antiseptic,adj,-,withersmite,withersmite,,,,,,,,,,,,,,,,,,,,,,,,,
anti-statism,n,-,witherlawwardness,witherlawwardness,,,,,,,,,,,,,,,,,,,,,,,,,
anti-statist,n,-,leedward witherling,leedward witherling,,,,,,,,,,,,,,,,,,,,,,,,,
antitoxin,n,-,gainatter,gainatter,,,,,,,,,,,,,,,,,,,,,,,,,
antler,n,-,blowhorn (<OE blōwan),blowhorn ,<OE blōwan),,,,,,,,,,,,,,,,,,,,,,,,
antonym,n,-,witherwordgainword (cf. NHG gegenwort),witherwordgainword ,cf. NHG gegenwort),,,,,,,,,,,,,,,,,,,,,,,,
anulus,n,ring,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
anus,n,asshole(vulgar),arse-thirl (OE: earsþerl); back-tharm;\nendring,arse-thirl ,OE: earsþerl); back-tharm;\nendring,,,,,,,,,,,,,,,,,,,,,,,,
anxiety,n,"worry, fear","angness, angens, angs",angness, angens, angs,,,,,,,,,,,,,,,,,,,,,,,
aorta,n,-,loftleat,loftleat,,,,,,,,,,,,,,,,,,,,,,,,,
apart,adj,"cleaved, sundered, shedded",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
apart from,adv,"aside, asunder",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
apartment,n,"flat, room, by-room",woning (cf. NHG Wohnung),woning ,cf. NHG Wohnung),,,,,,,,,,,,,,,,,,,,,,,,
apathetic,adj,samewise,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
aperture,n,"opening, breech, hole",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
apex,n,"tip, yop, top",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
aphid,n,"greenfly, blackfly",wortlice,wortlice,,,,,,,,,,,,,,,,,,,,,,,,,
aphrodisiac,n,-,lustdrive,lustdrive,,,,,,,,,,,,,,,,,,,,,,,,,
apogee,n,-,hightip,hightip,,,,,,,,,,,,,,,,,,,,,,,,,
apologise,vb,say sorry,"forshild, unshild (cf. Du. verontschuldigen, NHG. entschuldigen, see shild)",forshild, unshild ,cf. Du. verontschuldigen, NHG. entschuldigen, see shild),,,,,,,,,,,,,,,,,,,,,
apology,n,sorry,"rueword, sorroword, belading (<OE)defense: besaying, forespeech (<OE forespræċ)",rueword, sorroword, belading ,<OE)defense: besaying, forespeech ,<OE forespræċ),,,,,,,,,,,,,,,,,,,,
apostle,n,errand-bearer,"errander, errand-wakener (OE ærendwrecca),  sendling (cf. NHG 'Sendling'),fro-sent (Sir John Cheke)",errander, errand-wakener ,OE ærendwrecca),  sendling ,cf. NHG 'Sendling'),fro-sent ,Sir John Cheke),,,,,,,,,,,,,,,,,,,
apothecary,n,-,"leefwinkle (leef 'medicine', see Ic. lyf)",leefwinkle ,leef 'medicine', see Ic. lyf),,,,,,,,,,,,,,,,,,,,,,,
apparel,n,"clothes, wear, threads, weed","glad rags, donnings, step-outs",glad rags, donnings, step-outs,,,,,,,,,,,,,,,,,,,,,,,
apparent,adj,seeming,"eyeshinely (cf. NHG. augenscheinlich, Du. ogenschijnlijk)",eyeshinely ,cf. NHG. augenscheinlich, Du. ogenschijnlijk),,,,,,,,,,,,,,,,,,,,,,,
